date,pageviews
2013-01-01,"92,812"
2013-01-02,"182,645"
2013-01-03,"286,954"
2013-01-04,"331,373"
2013-01-05,"194,671"
2013-01-06,"197,954"
2013-01-07,"418,191"
2013-01-08,"474,146"
2013-01-09,"493,641"
2013-01-10,"573,630"
2013-01-11,"477,314"
2013-01-12,"264,887"
2013-01-13,"204,052"
2013-01-14,"310,141"
2013-01-15,"360,446"
2013-01-16,"417,175"
2013-01-17,"477,450"
2013-01-18,"629,763"
2013-01-19,"313,924"
2013-01-20,"309,176"
2013-01-21,"346,669"
2013-01-22,"386,346"
2013-01-23,"612,077"
2013-01-24,"444,569"
2013-01-25,"376,221"
2013-01-26,"334,951"
2013-01-27,"373,044"
2013-01-28,"360,011"
2013-01-29,"385,543"
2013-01-30,"464,720"
2013-01-31,"415,376"
2013-02-01,"306,561"
2013-02-02,"294,284"
2013-02-03,"224,356"
2013-02-04,"524,707"
2013-02-05,"567,740"
2013-02-06,"483,017"
2013-02-07,"624,027"
2013-02-08,"591,208"
2013-02-09,"310,779"
2013-02-10,"549,629"
2013-02-11,"482,699"
2013-02-12,"430,041"
2013-02-13,"570,457"
2013-02-14,"514,563"
2013-02-15,"1,005,807"
2013-02-16,"715,322"
2013-02-17,"561,459"
2013-02-18,"887,692"
2013-02-19,"979,464"
2013-02-20,"2,118,408"
2013-02-21,"2,028,004"
2013-02-22,"1,266,772"
2013-02-23,"598,656"
2013-02-24,"481,739"
2013-02-25,"823,019"
2013-02-26,"791,450"
2013-02-27,"664,546"
2013-02-28,"617,567"
2013-03-01,"519,943"
2013-03-02,"346,904"
2013-03-03,"414,606"
2013-03-04,"1,220,283"
2013-03-05,"1,000,791"
2013-03-06,"987,194"
2013-03-07,"1,056,107"
2013-03-08,"820,416"
2013-03-09,"584,391"
2013-03-10,"399,686"
2013-03-11,"544,358"
2013-03-12,"538,402"
2013-03-13,"765,348"
2013-03-14,"624,033"
2013-03-15,"704,887"
2013-03-16,"601,922"
2013-03-17,"667,888"
2013-03-18,"962,500"
2013-03-19,"758,406"
2013-03-20,"713,898"
2013-03-21,"1,092,453"
2013-03-22,"1,245,357"
2013-03-23,"982,271"
2013-03-24,"814,940"
2013-03-25,"885,512"
2013-03-26,"980,272"
2013-03-27,"1,338,603"
2013-03-28,"1,184,621"
2013-03-29,"1,092,182"
2013-03-30,"776,944"
2013-03-31,"786,586"
2013-04-01,"846,615"
2013-04-02,"855,018"
2013-04-03,"933,142"
2013-04-04,"891,485"
2013-04-05,"1,080,478"
2013-04-06,"754,653"
2013-04-07,"691,893"
2013-04-08,"1,114,904"
2013-04-09,"930,955"
2013-04-10,"806,569"
2013-04-11,"754,674"
2013-04-12,"881,698"
2013-04-13,"603,665"
2013-04-14,"484,129"
2013-04-15,"549,031"
2013-04-16,"764,487"
2013-04-17,"2,692,310"
2013-04-18,"1,826,163"
2013-04-19,"1,075,043"
2013-04-20,"973,815"
2013-04-21,"610,553"
2013-04-22,"733,007"
2013-04-23,"828,837"
2013-04-24,"864,919"
2013-04-25,"1,110,792"
2013-04-26,"1,202,986"
2013-04-27,"827,262"
2013-04-28,"740,171"
2013-04-29,"1,419,776"
2013-04-30,"1,061,223"
2013-05-01,"928,304"
2013-05-02,"1,360,132"
2013-05-03,"1,224,434"
2013-05-04,"644,391"
2013-05-05,"588,875"
2013-05-06,"925,097"
2013-05-07,"1,095,649"
2013-05-08,"1,125,346"
2013-05-09,"3,197,230"
2013-05-10,"2,308,621"
2013-05-11,"975,856"
2013-05-12,"534,078"
2013-05-13,"1,102,156"
2013-05-14,"1,329,649"
2013-05-15,"2,356,716"
2013-05-16,"1,801,143"
2013-05-17,"954,689"
2013-05-18,"656,676"
2013-05-19,"1,270,866"
2013-05-20,"2,496,765"
2013-05-21,"9,055,365"
2013-05-22,"5,467,922"
2013-05-23,"2,553,245"
2013-05-24,"1,465,019"
2013-05-25,"887,807"
2013-05-26,"683,591"
2013-05-27,"740,654"
2013-05-28,"764,099"
2013-05-29,"859,401"
2013-05-30,"1,150,337"
2013-05-31,"3,990,245"
