date,users,new_users,sessions_per_user,sessions,session_duration,bounce_rate,pageviews,pages_per_session
2013-01-01,"67,283","17,706",1.05,"68,825",0:01:46,80.00%,"82,590",1.15
2013-01-02,"123,942","53,118",1.03,,0:01:25,72.22%,,1.44
2013-01-03,"194,766","88,530",1.13,,0:01:05,77.42%,,1.31
2013-01-04,"237,261","123,942",1.09,,0:02:09,87.67%,,1.15
2013-01-05,"134,566","60,200",1.13,,0:01:35,76.74%,,1.26
2013-01-06,"145,189","74,365",1.1,,0:01:25,86.67%,,1.27
2013-01-07,"283,296","92,071",1.15,,0:01:15,81.52%,,1.5
2013-01-08,"336,414","177,060",1.12,,0:01:08,80.19%,,1.27
2013-01-09,"343,497","198,307",1.13,,0:00:43,87.27%,,1.15
2013-01-10,"396,615","226,637",1.15,,0:01:04,83.72%,,1.32
2013-01-11,"350,579","201,849",1.09,,0:00:47,89.81%,,1.23
2013-01-12,"180,601","84,989",1.18,,0:00:30,88.33%,,1.15
2013-01-13,"141,648","63,742",1.12,,0:01:34,84.44%,,1.24
2013-01-14,"212,472","84,989",1.13,,0:01:05,86.76%,,1.25
2013-01-15,"240,802","92,071",1.15,,0:02:36,73.08%,,1.56
2013-01-16,"262,049","102,695",1.2,,0:01:46,78.65%,,1.64
2013-01-17,"311,626","166,437",1.2,,0:00:48,82.08%,,1.35
2013-01-18,"470,980","283,296",1.08,,0:01:16,84.62%,,1.29
2013-01-19,"216,013","99,154",1.18,,0:01:43,83.33%,,1.21
2013-01-20,"226,637","138,107",1.11,,0:01:51,87.32%,,1.13
2013-01-21,"240,802","131,024",1.13,,0:01:07,84.42%,,1.26
2013-01-22,"251,425","120,401",1.17,,0:00:49,78.31%,,1.47
2013-01-23,"403,697","212,472",1.22,,0:01:43,73.38%,,1.55
2013-01-24,"301,002","145,189",1.14,,0:01:13,85.57%,,1.29
2013-01-25,"244,343","113,318",1.2,,0:00:54,85.54%,,1.34
2013-01-26,"219,555","84,989",1.23,,0:02:37,76.32%,,1.49
2013-01-27,"233,719","120,401",1.3,,0:00:44,82.56%,,1.26
2013-01-28,"226,637","106,236",1.2,,0:01:49,77.92%,,1.44
2013-01-29,"233,719","84,989",1.29,,0:00:42,83.53%,,1.26
2013-01-30,"290,379","113,318",1.24,,0:02:21,76.47%,,1.48
2013-01-31,"272,673","102,695",1.18,,0:01:10,83.52%,,1.21
2013-02-01,"173,519","53,118",1.37,,0:02:27,80.60%,,2.1
2013-02-02,"212,472","95,612",1.13,,0:00:58,82.35%,,1.41
2013-02-03,"159,354","74,365",1.18,,0:02:25,84.91%,,2.09
2013-02-04,"364,744","184,143",1.17,,0:00:38,87.50%,,1.16
2013-02-05,"375,367","187,684",1.19,,0:02:10,73.02%,,1.43
2013-02-06,"297,461","127,483",1.25,,0:02:27,73.33%,,1.59
2013-02-07,"432,027","233,719",1.15,,0:00:52,85.71%,,1.24
2013-02-08,"385,991","194,766",1.2,,0:01:50,82.44%,,1.38
2013-02-09,"212,472","74,365",1.17,,0:01:04,85.71%,,1.19
2013-02-10,"442,650","269,131",1.07,,0:00:45,88.81%,,1.31
2013-02-11,"339,955","173,519",1.14,,0:00:42,90.83%,,1.11
2013-02-12,"304,543","148,731",1.13,,0:00:56,79.38%,,1.35
2013-02-13,"378,909","194,766",1.17,,0:01:36,76.00%,,1.25
2013-02-14,"339,955","141,648",1.16,,0:01:22,78.38%,,1.4
2013-02-15,"736,570","446,192",1.12,,0:00:53,84.55%,,1.16
2013-02-16,"513,474","322,249",1.15,,0:01:05,86.83%,,1.23
2013-02-17,"410,780","254,967",1.13,,0:01:31,87.79%,,1.27
2013-02-18,"640,958","361,203",1.13,,0:02:56,82.35%,,1.26
2013-02-19,"701,158","442,650",1.13,,0:00:35,85.71%,,1.29
2013-02-20,"1,628,953","1,072,984",1.08,,0:01:26,85.14%,,1.26
2013-02-21,"1,551,047","1,080,067",1.1,,0:01:38,85.42%,,1.16
2013-02-22,"927,795","605,546",1.11,,0:01:10,82.13%,,1.24
2013-02-23,"453,274","262,049",1.07,,0:00:42,86.86%,,1.13
2013-02-24,"371,826","240,802",1.05,,0:00:46,90.91%,,1.24
2013-02-25,"591,381","308,085",1.1,,0:00:54,88.52%,,1.19
2013-02-26,"531,180","304,543",1.18,,0:00:50,84.75%,,1.3
